OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc sp,Ant odo,Ave fle,Cam rot,Car lep,Car nigra,Car pal,Car pil,Cer fon,Des ces,Euph str,Fes rub,Gram sp,Hie pil,Hyp mac,Kna arv,Leo aut,Leu vul,Lot cor,Luz mul,Luz pil,Nar str,Oma syl,Pim sax,Pla lan,Poa pra,Pot ere,Pru vul,Ran acr,Ran rep,Rum ace,Rum ac-la,Sol vir,Sorbus,Ste gra,Suc pra,Tarax,Tri pra,Tri rep,Ver cha,Ver off,Vio pal,Vio riv,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ovstedal,2,291,TTC,291,291 TTC,,,C,22,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,D,,,,,0,10,0,0,2,0,0,,,,12,2,
Ovstedal,2,291,TTC,291,291 TTC,,,C,23,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,5,2,0,0,20,0,0,,,,7,2.5,
Ovstedal,2,291,TTC,291,291 TTC,,,C,24,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,30,10,0,0,2,0,0,,,,9,4,
Ovstedal,2,291,TTC,291,291 TTC,,,C,25,2009,26-Aug,Presence,KK,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,30,10,0,0,5,0,0,,,,11,3,
Ovstedal,2,291,TTC,291,291 TTC,,,C,%,2009,26-Aug,Cover,KK,,6,,9,2,5,2,,,,,,,,1,,,,,,,,,15,,,,,8,,,,,2,,,,,,,,,25,,,,,13.88,10.16,0,0,6.96,0,0,60,50,0,9.75,2.875,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,1,2009,26-Aug,Presence,KK,,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,0,30,0,0,20,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,2,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,70,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,3,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,30,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,4,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,5,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,20,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,6,2009,26-Aug,Presence,KK,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,2,10,0,0,5,0,0,,,,,,
