OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant alp ,Ant dio,Ant odo,Ast alp,Ave fle,Bis viv,Bot lun,Cam rot,Car atr,Car atr,Car big,Car cap,Car nor,Car vag,Cer alp,Cer fon,Des ces,Epi ana,Epi sp ,Eup fri,Fes ovi,Fes rub,Fes viv,Gen niv,Hie pil,Hie sp,Jun tri,L. spi,Leo aut,Luz mul,Luz sp,Luz spi,Nar stri,Oma nor ,Oma sup,Par pal,Phl alp,Phy cae,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr sp,Rum ac-la,Ran acr,Rum ace,Sag pro,Sag sag,Sag sp,Sal her,Sal ret,Sau alp,Sel sel,Sib pro,Sil aca,Tar sp,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Vio bif,Vio pal,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,19,2009,11-Aug,Presence,W,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,0,8,0,0,15,0,0,,,,,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,20,2009,11-Aug,Presence,W,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,F,,,1,,,,1,,,,,,,,,,,,,1,0,5,0,0,25,5,0,,,,,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,21,2009,11-Aug,Presence,W,,F,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,1,,,1,,,,0,5,0,0,20,5,0,,,,,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,22,2009,11-Aug,Presence,W,,1,1,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,0,10,0,0,10,0,0,,,,2,0.5,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,23,2009,11-Aug,Presence,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,1,,,,0,0,0,5,25,0,0,,,,5,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,24,2009,11-Aug,Presence,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,,,1,,,,1,,,,,,,1,,,,,,,0,2,0,0,35,0,0,,,,4,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,25,2009,11-Aug,Presence,W,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,0,0,2,2,30,10,0,,,,3,,
Ulvhaugen,1,2,TT4,103,2 TT4 103,,,1,%,2009,11-Aug,Cover,W,,8,15,,,4,4,1,,3,,,1,,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,2,,,1,1,,,,,3,,1,1,1,4,,,1,3,,,,,,1,2,1,,6,1,,1,0.8,5.6,0.08,0.48,21,0.8,0,45,20,2,3.5,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,1,2009,11-Aug,Presence,W,,F,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,1,1,,,,,,5,5,0,1,10,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,2,2009,11-Aug,Presence,W,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,9,0,0,5,30,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,3,2009,11-Aug,Presence,W,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,0,5,0,0,30,10,0,,,,,,
