OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer,Alc alp,Alc sp,Ant alp,Ant dio,Ant odo,Arc alp,Ast alp,Ave fle,Bart alp,Bet nan,Bet pub,Bis viv,Cam rot,Car big ,Car cap,Car nor,Car sp,Car vag,Cer alp,Cer cer,Cer fon,Cer fon,Des ces,Emp her,Epi ana,Epi sp,Euph fri,Euph str,Fes ovi,Fes rub,Fes viv,Gen pur,Hie alp,Hie pil,Hie vul,Jun tri,Luz spi,Leo aut,Luz mul,Luz spi,Luz sp,Nar stri,Oma nor,Oma sup,Oxy dig,Par pal,Par pal,Phle alp,Phyll caer,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr nor,Pyr rot,Rum ac-la,Ran acr,Rho ros,Rum ace,Euph str,Sag pro,Sag sag,Sag sp,Sal her,Sal ret ,Salix sp,Sax aiz,Sel sel,Sib pro,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri rep,Vac myr,Ver alp,Ver fru,Ver serp,Vio bif,Vio pal,Nid seedling,Nid gram,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Lavisdalen,1,76,TT1,80,76 TT1 80,,,C,%,2009,14-Aug,Cover,W,,2,3,,1,28,,3,,,,,,,5,1,,2,1,,,,,,,1,,1,,,,1,2,,,,,2,,,,1,,,,,,,2,,2,,1,2,1,1,,1,,,,,,,1,,1,,2,2,,,2,1,5,,4,2,2,,,1,,,3,,1,,1.76,1.36,0,0,9.8,2.64,0,80,5,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,1,2009,12-Aug,Presence,W,,,,,,,,1,,,,,,,1,,,,F,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,0,30,0,0,10,5,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,2,2009,12-Aug,Presence,W,,F,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,1,,,,,,,20,20,0,0,10,5,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,3,2009,12-Aug,Presence,W,,F,,,,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,F,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,1,,,1,,,,5,5,5,0,10,0,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,4,2009,12-Aug,Presence,W,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,1,,,,,,,,,,,,10,0,0,0,10,10,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,5,2009,12-Aug,Presence,W,,,,,,,,1,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,1,,,,,,,,,,,10,0,0,0,10,20,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,6,2009,12-Aug,Presence,W,,,,1,,,,1,,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,0,1,0,0,60,10,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,7,2009,12-Aug,Presence,W,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,S,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,,1,,,,0,15,0,0,20,10,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,8,2009,12-Aug,Presence,W,,F,,,,,,1,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,,1,,,,1,,,1,,1,,0,5,0,0,20,15,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,9,2009,12-Aug,Presence,W,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,,,,,,,,10,0,0,0,20,5,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,10,2009,12-Aug,Presence,W,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,1,1,1,,,1,,,,,,,5,1,0,0,20,2,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,11,2009,12-Aug,Presence,W,,F,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,F,,1,,,,,,,,0,0,0,0,7,8,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,12,2009,12-Aug,Presence,W,,1,,,,,,,,,,,,,1,,,,,,F,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,1,0,0,0,30,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,13,2009,12-Aug,Presence,W,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,0,0,0,25,0,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,14,2009,12-Aug,Presence,W,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,5,0,0,30,5,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,15,2009,12-Aug,Presence,W,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,S,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,F,,,,1,F,,,1,,,,,,,5,2,0,0,40,5,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,16,2009,12-Aug,Presence,W,,1,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,0,20,0,0,15,10,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,17,2009,12-Aug,Presence,W,,F,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,S,,,,,,,,,,,,,1,,7,4,0,0,15,1,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,18,2009,12-Aug,Presence,W,,1,,,,,1,F,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,3,0,1,5,0,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,19,2009,12-Aug,Presence,W,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,8,10,0,5,30,10,0,,,,,,
Lavisdalen,1,77,TT4,206,77 TT4 206,,,1,20,2009,12-Aug,Presence,W,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,F,,,1,,,,,,,,1,,1,,10,0,0,0,25,10,0,,,,,,
